datum;teplota
2022-04-04;2,6
2022-04-05;7,1
2022-04-06;11,2
2022-04-07;10,5
2022-04-08;6,1
2022-04-09;4,2
2022-04-10;3,7
2022-04-11;6,6
2022-04-12;10,3
2022-04-13;14,3
2022-04-14;15,2
2022-04-15;9,5
2022-04-16;6,8
2022-04-17;7,3
2022-04-18;8,4
2022-04-19;4,6
2022-04-20;4,8
2022-04-21;7,7
2022-04-22;8,9
2022-04-23;11,2
2022-04-24;8,3
2022-04-25;7,0
2022-04-26;10,1
2022-04-27;11,5
2022-04-28;12,5
2022-04-29;12,3
2022-04-30;11,9
2022-05-01;13,1
2022-05-02;14,4
2022-05-03;14,7
2022-05-04;15,7
2022-05-05;14,6
2022-05-06;15,2
2022-05-07;14,7
2022-05-08;15,9
2022-05-09;16,7
2022-05-10;18,6
2022-05-11;21,8
2022-05-12;20,8
2022-05-13;17,5
2022-05-14;17,2
2022-05-15;17,4
2022-05-16;18,8
2022-05-17;16,0
2022-05-18;17,8
2022-05-19;21,1
2022-05-20;21,0
2022-05-21;17,5
2022-05-22;16,9
2022-05-23;18,7
2022-05-24;16,4
2022-05-25;15,1
2022-05-26;16,5
2022-05-27;13,8
2022-05-28;12,3
2022-05-29;9,4
2022-05-30;12,5
2022-05-31;15,2
2022-06-01;18,1
2022-06-02;17,5
2022-06-03;21,9
2022-06-04;19,6
2022-06-05;22,1
2022-06-06;20,7
2022-06-07;16,9
2022-06-08;20,4
2022-06-09;16,8
2022-06-10;20,1
2022-06-11;21,1
2022-06-12;24,2
2022-06-13;16,4
2022-06-14;17,0
2022-06-15;21,7
2022-06-16;21,7
2022-06-17;20,3
2022-06-18;26,5
2022-06-19;29,9
2022-06-20;19,5
2022-06-21;17,5
2022-06-22;22,5
2022-06-23;24,2
2022-06-24;19,8
2022-06-25;18,7
2022-06-26;23,4
2022-06-27;24,6
2022-06-28;21,5
2022-06-29;19,2
2022-06-30;23,8
2022-07-01;18,1
2022-07-02;19,0
2022-07-03;23,1
2022-07-04;22,1
2022-07-05;21,3
2022-07-06;18,8
2022-07-07;15,7
2022-07-08;16,9
2022-07-09;15,9
2022-07-10;14,5
2022-07-11;16,5
2022-07-12;17,6
2022-07-13;23,3
2022-07-14;20,7
2022-07-15;17,2
2022-07-16;17,9
2022-07-17;18,7
2022-07-18;21,0
2022-07-19;24,9
2022-07-20;26,9
2022-07-21;23,6
2022-07-22;25,5
2022-07-23;20,0
2022-07-24;21,8
2022-07-25;26,8
2022-07-26;23,2
2022-07-27;17,4
2022-07-28;20,4
2022-07-29;21,5
2022-07-30;17,2
2022-07-31;21,5
2022-08-01;20,7
2022-08-02;22,9
2022-08-03;24,9
2022-08-04;25,9
2022-08-05;26,8
2022-08-06;17,8
2022-08-07;18,6
2022-08-08;19,4
2022-08-09;20,5
2022-08-10;20,7
2022-08-11;20,0
2022-08-12;21,3
2022-08-13;20,9
2022-08-14;22,7
2022-08-15;22,5
2022-08-16;24,2
2022-08-17;25,3
2022-08-18;26,4
2022-08-19;21,2
2022-08-20;16,9
2022-08-21;19,1
2022-08-22;15,7
2022-08-23;16,9
2022-08-24;20,5
2022-08-25;21,2
2022-08-26;20,7
2022-08-27;19,5
2022-08-28;17,6
2022-08-29;18,0
2022-08-30;18,3
2022-08-31;17,3
2022-09-01;16,5
2022-09-02;15,8
2022-09-03;16,6
2022-09-04;19,2
2022-09-05;19,1
2022-09-06;18,7
2022-09-07;19,6
2022-09-08;16,1
2022-09-09;15,3
2022-09-10;15,3
2022-09-11;14,5
2022-09-12;15,1
2022-09-13;16,9
2022-09-14;17,2
2022-09-15;14,3
2022-09-16;11,8
2022-09-17;9,6
2022-09-18;9,6
2022-09-19;10,1
2022-09-20;8,4
2022-09-21;9,5
2022-09-22;10,1
2022-09-23;9,3
2022-09-24;12,5
2022-09-25;12,9
2022-09-26;12,3
2022-09-27;10,3
2022-09-28;8,1
2022-09-29;9,4
2022-09-30;10,7
2022-10-01;10,6
2022-10-02;11,4
2022-10-03;12,1
2022-10-04;12,1
2022-10-05;14,0
2022-10-06;12,1
2022-10-07;12,5
2022-10-08;12,2
2022-10-09;8,8
2022-10-10;12,1
2022-10-11;10,2
2022-10-12;10,5
2022-10-13;11,6
2022-10-14;12,4
2022-10-15;13,9
2022-10-16;16,8
2022-10-17;15,1
2022-10-18;12,9
2022-10-19;9,4
2022-10-20;7,1
2022-10-21;9,0
2022-10-22;12,0
2022-10-23;12,2
2022-10-24;14,1
2022-10-25;12,6
2022-10-26;10,6
2022-10-27;13,4
2022-10-28;14,0
2022-10-29;14,1
2022-10-30;11,7
2022-10-31;10,8
2022-11-01;11,0
2022-11-02;10,0
2022-11-03;8,6
2022-11-04;7,9
2022-11-05;7,1
2022-11-06;4,9
2022-11-07;10,0
2022-11-08;9,8
2022-11-09;8,2
2022-11-10;9,3
2022-11-11;7,7
2022-11-12;4,9
2022-11-13;4,2
2022-11-14;5,1
2022-11-15;3,4
2022-11-16;5,8
2022-11-17;5,3
2022-11-18;0,7
2022-11-19;-2,6
2022-11-20;-0,7
2022-11-21;2,3
2022-11-22;1,5
2022-11-23;3,9
2022-11-24;5,3
2022-11-25;4,2
2022-11-26;6,1
2022-11-27;0,2
2022-11-28;2,7
2022-11-29;3,2
2022-11-30;1,6
2022-12-01;1,0
2022-12-02;0,0
2022-12-03;0,8
2022-12-04;5,1
2022-12-05;4,6
2022-12-06;3,0
2022-12-07;2,5
2022-12-08;1,8
2022-12-09;-0,3
2022-12-10;0,4
2022-12-11;-3,0
2022-12-12;-3,7
2022-12-13;-9,6
2022-12-14;-5,1
2022-12-15;-4,5
2022-12-16;-2,9
2022-12-17;-3,7
2022-12-18;-8,7
2022-12-19;-2,3
2022-12-20;-0,8
2022-12-21;1,3
2022-12-22;7,2
2022-12-23;8,2
2022-12-24;7,9
2022-12-25;8,1
2022-12-26;9,9
2022-12-27;3,4
2022-12-28;4,8
2022-12-29;9,6
2022-12-30;7,7
2022-12-31;14,7
